Item_URL,Price,Availability
https://www.ebay.com/itm/401564848769?epid=23031754909&itmmeta=01J568XRYPJF65QF7B8KWZPFXV&hash=item5d7f215281:g:9YMAAOSw2P1kwwYy,US $54.94,Limited quantity available
https://www.ebay.com/itm/292632746816?epid=12028297092&itmmeta=01J568XRYP6FRAEKZPR0NGAP6D&hash=item4422455b40:g:rJEAAOSw7G5kwwY7,US $55.83,Limited quantity available
https://www.ebay.com/itm/404836993584?epid=3060270112&itmmeta=01J56921JCPT80WNTHYK65EKJ6&hash=item5e422a4a30:g:PkIAAOSwTaFl5J~1,US $47.89,Limited quantity available
https://www.ebay.com/itm/296310031260?itmmeta=01J56921JCDAS415A6XVQM8VHF&hash=item44fd74439c:g:ucUAAOSwodJl~DM1,US $46.82,Limited quantity available
https://www.ebay.com/itm/404988046931?_nkw=dolce+gabbana+the+one&epid=699797644&itmmeta=01J58R1CYVZRX15G1PGAEYJQFZ&hash=item5e4b2b2e53:g:gGsAAOSwemRmS5BH,US $73.61,More than 10 available
https://www.ebay.com/itm/401140910188?_nkw=dolce+gabbana+the+one&itmmeta=01J58R1CYV0RGRKWR1JAG5147A&hash=item5d65dc886c:g:UdsAAOSwkENkwxhN,US $66.12/ea,More than 10 available
https://www.ebay.com/itm/400996346981?_nkw=dolce+gabbana+pour+homme&epid=1638931932&itmmeta=01J58R32DX3MAB7P2W5M2BH8HB&hash=item5d5d3eac65:g:bVcAAOSwZl5kwvRA,US $58.41/ea,Limited quantity available
https://www.ebay.com/itm/291729071250?_nkw=dolce+gabbana+light+blue&epid=19030523568&itmmeta=01J58R7437RR3J0ZG34PQ9NC2B&hash=item43ec685c92:g:WmQAAOSwo7RkwwYh,US $53.30/ea,Limited quantity available
https://www.ebay.com/itm/291173871246?_nkw=dolce+gabbana+light+blue&epid=710178855&itmmeta=01J58R743715AP7BMM2F4D5C61&hash=item43cb50ae8e:g:8rQAAOSw9x1kwwYW,US $40.19,Limited quantity available
https://www.ebay.com/itm/302260755695?_nkw=dolce+gabbana+light+blue&epid=2298479130&itmmeta=01J58R7438YEK1HF61N27VZQG0&hash=item4660251cef:g:rHEAAOSw7G5kwwYk,US $60.87/ea,Limited quantity available
https://www.ebay.com/itm/404744980250?_nkw=dolce+gabbana+k&epid=3039762955&itmmeta=01J58RQ5SP2AG90NN7AV7CDP62&hash=item5e3cae471a:g:Vi8AAOSwKlZlpccy,US $57.24,Limited quantity available
https://www.ebay.com/itm/305075160317?_nkw=dolce+gabbana+k&itmmeta=01J58RQ5SPFDHVVTMBCC6HWSXP&hash=item4707e584fd:g:JSUAAOSw8jJk3NM1,US $64.96,Limited quantity available
https://www.ebay.com/itm/305592189543?_nkw=dolce+gabbana+k&itmmeta=01J58RQ5SPH8X6091QEESEMMPB&hash=item4726b6c267:g:uLoAAOSw-MhmV4Ms,US $67.47,Limited quantity available
https://www.ebay.com/itm/295792184172?_nkw=dolce+gabbana+q&epid=23058843969&itmmeta=01J58SBEY9AT2ZP6CYGCNRPFN6&hash=item44de968b6c:g:mOMAAOSweAhkn1Iq,US $52.22,Limited quantity available
https://www.ebay.com/itm/305593313844?_nkw=dolce+gabbana+q&itmmeta=01J58SBEY99AH4G4PYPF29P8VY&hash=item4726c7ea34:g:FBEAAOSwBnVmWHjT,US $66.70,4 available
https://www.ebay.com/itm/296163538602?_nkw=dolce+gabbana+devotion&epid=7062694606&itmmeta=01J58TFCC8EGQS8W7M8DVHB2GP&hash=item44f4b8f6aa:g:fe0AAOSwW~Zlos4a,US $67.74,Limited quantity available
https://www.ebay.com/itm/295536167587?_nkw=mont+blanc+explorer&epid=25047545439&itmmeta=01J58V26717B8PM4X2XAVWCR4H&hash=item44cf540aa3:g:-QkAAOSw4ZlkwvfS,US $60.70/ea,Limited quantity available
https://www.ebay.com/itm/293258586994?_nkw=mont+blanc+explorer&epid=6034370523&itmmeta=01J58V26714CYXNBE7DZ1776ER&hash=item444792eb72:g:~s8AAOSwOlpkwvfL,US $44.99/ea,Limited quantity available
https://www.ebay.com/itm/304149150296?_nkw=mont+blanc+explorer&epid=2318238622&itmmeta=01J58V2671HSQX16XZ7E7SN2K3&hash=item46d0b3ba58:g:2~QAAOSwsNRkwvfi,US $35.33/ea,Limited quantity available
https://www.ebay.com/itm/296205340557?_nkw=mont+blanc+explorer&epid=10061722793&itmmeta=01J58V2671FBA1ADY6Y0DP0PJR&hash=item44f736cf8d:g:ccoAAOSwDudlv7rV,US $47.98,173 sold
https://www.ebay.com/itm/292570815938?_nkw=mont+blanc+legend&epid=8031751834&itmmeta=01J58W3B8SZ8WZYNJSK61CQD81&hash=item441e945dc2:g:4XsAAOSwON5kwwt1,US $47.99/ea,Limited quantity available
https://www.ebay.com/itm/291846940872?_nkw=mont+blanc+legend&epid=2157439984&itmmeta=01J58W3B8TSEA75NYNG6QECD9T&hash=item43f36ee8c8:g:JtoAAOSwn29kwwty,US $38.28/ea,Limited quantity available
https://www.ebay.com/itm/304782050494?_nkw=mont+blanc+legend&epid=17053316295&itmmeta=01J58W3B8T5JNR0W4VC1T34J85&hash=item46f66d04be:g:yDYAAOSwwGJkwwtd,US $29.53,Limited quantity available
https://www.ebay.com/itm/291172929729?_nkw=azzaro+chrome&epid=710082906&itmmeta=01J58XAG1TQAN8CNK608CXHMK3&hash=item43cb4250c1:g:rqAAAOSwVq1kwuzf,US $46.39/ea,Limited quantity available
https://www.ebay.com/itm/291296464977?_nkw=azzaro+chrome&epid=15033927378&itmmeta=01J58XAG1TET3HC5T3A9SKSB0E&hash=item43d29f5051:g:UtwAAOSwKIpkwuz1,US $25.39/ea,Limited quantity available
https://www.ebay.com/itm/304062356577?_nkw=azzaro+chrome&epid=9041811039&itmmeta=01J58XAG1T1T6MWJTM09EP33H1&hash=item46cb875c61:g:uqcAAOSw-sVkwuzx,US $34.21,Limited quantity available
https://www.ebay.com/itm/402463492230?_nkw=azzaro+chrome&epid=12029135508&itmmeta=01J58XAG1VE5RJTNBQC7FWBR0J&hash=item5db4b18886:g:5owAAOSw-~Fkwuzj,US $33.33/ea,Limited quantity available
https://www.ebay.com/itm/402891328157?_nkw=azzaro+chrome&epid=530569546&itmmeta=01J58XAG1TD4GG09WMZFTQPQ0Y&hash=item5dce31ca9d:g:KQIAAOSwNu1kwuz8,US $28.24/ea,4 available
https://www.ebay.com/itm/304806904769?_nkw=azzaro+chrome&epid=4026351101&itmmeta=01J58XAG1TEJZ2QJ9DFJH7H2BX&hash=item46f7e843c1:g:1BcAAOSwL-5kwu0D,US $23.77,Limited quantity available
https://www.ebay.com/itm/301270053653?_nkw=azzaro+pour&epid=133948428&itmmeta=01J58XQDYE2E8SM3R0PF587XPT&hash=item4625183315:g:fa0AAOSwXgVkwubc,US $34.79/ea,Limited quantity available
https://www.ebay.com/itm/294362137843?_nkw=azzaro+sport&epid=5038898654&itmmeta=01J58XRY4HX7R8F9MG85YMQB63&hash=item448959c4f3:g:xU8AAOSwCHxkwubg,US $19.49/ea,Limited quantity available
https://www.ebay.com/itm/296215949538?_nkw=azzaro+elixir&epid=140556141&itmmeta=01J58XT7NHMQK80Z36CR4QB16C&hash=item44f7d8b0e2:g:QMMAAOSwLARlxuVk,US $28.66,More than 10 available
https://www.ebay.com/itm/293223948837?_nkw=azzaro+wanted&epid=11034026125&itmmeta=01J58XWTCE0FBSTT98VBTE4RQZ&hash=item4445826225:g:wo0AAOSwdNFkwub9,US $77.58,Limited quantity available
https://www.ebay.com/itm/305075145215?_nkw=azzaro+wanted&epid=10045875999&itmmeta=01J58XWTCEZXBP0T28K1NYHV8Q&hash=item4707e549ff:g:5ckAAOSwP~xk3ND8,US $89.78,Limited quantity available
https://www.ebay.com/itm/291893217582?_nkw=azzaro+wanted&epid=27032780911&itmmeta=01J597YDTBFJHA94747E8MKRD4&hash=item43f631092e:g:z8AAAOSwsIRkwubx,US $61.23/ea,More than 10 available
https://www.ebay.com/itm/402830525705?_nkw=azzaro+wanted&epid=9041790631&itmmeta=01J597YDTB3FT49ATAN74D74ZR&hash=item5dca920509:g:qZQAAOSwR~BkwucM,US $27.81,Availability not found
https://www.ebay.com/itm/304965213704?_nkw=montale&epid=7038076788&itmmeta=01J598158ZQVK0917HZ1PP5M9N&hash=item470157de08:g:xbwAAOSw4uVkwuYQ,US $79.93,547 sold
https://www.ebay.com/itm/304396357298?_nkw=montale&epid=21021970360&itmmeta=01J5981590J2K35AHAMJYGK7QA&hash=item46df6fceb2:g:6cEAAOSwUXRkwvJO,US $63.60/ea,7 available
https://www.ebay.com/itm/304081219989?_nkw=montale&epid=28007089330&itmmeta=01J598158Z7E9X6V38NQ7F5JA1&hash=item46cca73195:g:12wAAOSwh6Jkwugq,US $60.79/ea,10 available
https://www.ebay.com/itm/303281065878?_nkw=mancera&epid=23033705826&itmmeta=01J5987FWX2PHP9TGV4ENSKAGN&hash=item469cf5cf96:g:uWgAAOSw-sVkwuxT,US $69.74,More than 10 available
https://www.ebay.com/itm/295287439279?_nkw=mancera&epid=18005203414&itmmeta=01J5987FWXGF12P1MBA1ZBRNJH&hash=item44c080bfaf:g:0VkAAOSw-RdkwuXj,US $84.99/ea,Limited quantity available
https://www.ebay.com/itm/304964492953?_nkw=mancera&epid=8033908670&itmmeta=01J5987FWXKDGS3FJJ3DJEWVC1&hash=item47014cde99:g:Oi8AAOSwgMhkwv7A,US $88.43,Limited quantity available
https://www.ebay.com/itm/303856376648?_nkw=mancera&itmmeta=01J5987FWX64D53BQ6EZE6MA0F&hash=item46bf405b48:g:py4AAOSw3ChkwxTr,US $56.09,More than 10 available
https://www.ebay.com/itm/296001960674?_nkw=mancera&itmmeta=01J5987FWX96MAAC24EYMJCC99&hash=item44eb177ae2:g:MpwAAOSwljhlNd1n,US $59.75,Limited quantity available
https://www.ebay.com/itm/295946305916?_nkw=mancera&epid=26050758956&itmmeta=01J5987FWXFMRX8ETXHKFTAGQT&hash=item44e7c6417c:g:RfYAAOSwu~1lEElk,US $70.18,Limited quantity available
https://www.ebay.com/itm/404104091902?_nkw=burberry&epid=8049686294&itmmeta=01J598FZFT2R46MC8YKDP5CPAN&hash=item5e167b18fe:g:D1UAAOSwqnVkwuq3,US $61.35/ea,Limited quantity available
https://www.ebay.com/itm/291421004034?_nkw=burberry&epid=20032602917&itmmeta=01J598FZFTCZ624SYVEE5Y9ZDJ&hash=item43da0ba102:g:s2kAAOSwUVNkwupu,US $35.93/ea,Limited quantity available
https://www.ebay.com/itm/292609126173?_nkw=burberry&epid=77557634&itmmeta=01J598FZFTS0D0JSJFHEH7VBXG&hash=item4420dcef1d:g:CFUAAOSwUNFkwurU,US $34.89/ea,Limited quantity available
https://www.ebay.com/itm/403359824230?_nkw=burberry&epid=15034807792&itmmeta=01J598FZFTCASA4DNNDW3VHCRF&hash=item5dea1e7966:g:wv8AAOSwJKxkwuqn,US $37.29,Limited quantity available
https://www.ebay.com/itm/400785914949?_nkw=burberry&epid=8035047744&itmmeta=01J598FZFTPKGJM7QPWF7YASMK&hash=item5d50b3bc45:g:hYYAAOSwvzZkwuq~,US $36.26,Limited quantity available
https://www.ebay.com/itm/302968511397?_nkw=burberry&epid=127408979&itmmeta=01J598FZFTEYAZRW02FV7A1GK1&hash=item468a549ba5:g:ZPsAAOSwKn5kwurw,US $33.49/ea,Limited quantity available
https://www.ebay.com/itm/400787618672?_nkw=burberry&epid=22036363589&itmmeta=01J598FZFTD0TRMY872HDJX2S2&hash=item5d50cdbb70:g:JU8AAOSwNu1kwuqb,US $33.81/ea,More than 10 available
https://www.ebay.com/itm/400823134950?_nkw=burberry&epid=1101591666&itmmeta=01J598FZFTBG5WX6GTTW7KT00H&hash=item5d52ebaae6:g:J-kAAOSwyVlkwurt,US $28.66/ea,Limited quantity available
https://www.ebay.com/itm/403796576051?_nkw=burberry&epid=1357639898&itmmeta=01J598FZFT50R6DV4FQVWE3F18&hash=item5e0426c733:g:LoYAAOSw3hVkwwvd,US $49.99/ea,Limited quantity available
